10354569,0.52
10594476,1.00
10032866,0.22
10467002,0.07
10520906,0.68
10498872,0.51
10161824,0.48
10476896,0.88
10435198,0.25
10400460,0.16
10025903,4.32
10051299,2.79
10015560,1.14
10140444,0.34
10041746,0.46
10352947,2.02
10186171,2.17
10185952,1.52
10210666,2.72
10428109,0.99
10229092,0.55
10273221,2.17
10059266,0.61
10464174,0.21
10158416,2.55
10087554,0.94
10558465,0.48
10199278,0.08
10071460,0.34
10483626,5.30
10086571,1.20
10573887,1.01
10406663,2.61
10080305,0.55
10503828,3.10
10350387,0.21
10457746,1.06
10465561,1.32
10237763,2.71
10030670,0.56
10536051,0.74
10026061,0.81
10312043,2.65
10030926,4.42
10314665,1.15
10496396,0.70
10038321,5.76
10348695,0.62
10525868,4.99
10442987,0.97
10460318,1.42
10520378,1.77
10436436,2.29
10089253,1.33
10210950,0.58
10501771,0.63
10107776,1.54
10503904,1.89
10561818,6.90
10194388,2.23
10153378,4.88
10560096,0.99
10198916,0.51
10379277,0.19
10196172,0.96
10105357,0.64
10499450,1.81
10225527,2.96
10016388,1.29
10237050,2.88
10566206,0.85
10233703,2.98
10483032,0.15
10077110,0.52
10179786,1.73
10383645,0.39
10019401,5.27
10053186,0.12
10009915,1.22
10538216,0.59
10410574,0.49
10482903,0.70
10101466,0.44
10503356,1.58
10092711,0.45
10312338,0.62
10161067,1.57
10537578,6.21
10540780,0.07
10365060,0.44
10471208,2.25
10285446,0.91
10275408,4.87
10285285,0.49
10164110,5.40
10215737,5.46
10201456,0.88
10303655,0.68
10159595,0.48
10430042,0.74
10391092,0.29
10382351,0.98
10406185,0.31
10407992,0.73
10196048,0.74
10445365,0.76
10536876,3.48
10247352,0.31
10139131,0.41
10017155,2.90
10486853,5.07
10358833,1.57
10088734,0.41
10351974,0.75
10287758,1.67
10579328,1.25
10465877,2.82
10416580,4.88
10523864,1.44
10000403,3.59
10415370,0.60
10538851,4.30
10080507,1.19
10361741,0.40
10418011,0.81
10474266,4.79
10035572,0.56
10029782,1.65
10013799,0.55
10344495,3.36
10059273,5.46
10308458,0.16
10508736,3.72
